"","Nome","Artista","Ano","ID","N_palavras","N_palavras_bin","Dif","Idioma_1","Idioma_2","Idioma_3","Idioma_4"
"72","Fracasso","Dorinha Freitas",1958,5872,184,76,108,"pt","portuguese","por","pt"
"73","Garufa","João Dias",1958,5873,114,72,42,"es","spanish","spa","es"
"74","Castigo","Dolores Duran",1958,5874,85,56,29,"pt","portuguese","por","pt"
"75","Casinha Pequenina","Cascatinha & Inhana",1958,5875,105,44,61,"pt","portuguese","por","pt"
"76","Incerteza","Ivete Siqueira",1958,5876,96,77,19,"pt","portuguese","por","pt"
"77","Cacho de Banana","Arrelia & Pimentinha",1958,5877,196,31,165,"pt","italian","por","pt"
"78","Serenata do Adeus","Morgana",1958,5878,93,61,32,"pt","portuguese","por","pt"
"79","Crazy Love","Paul Anka",1958,5879,185,73,112,"en","scots","eng","en"
"80","Cabeçinha no Ombro","Duo Guarujá",1958,5880,92,33,59,"pt","portuguese","por","pt"
"81","Baião da Serra Grande","Palmeira & Biá",1958,5881,82,61,21,"pt","portuguese","por","pt"
"82","Lampião de Gás","Inezita Barroso",1958,5882,121,70,51,"pt","portuguese","por","pt"
"83","Forgive Me","Tony Campello",1958,5883,227,92,135,"en","scots","eng","en"
"84","Caruaru","Dalva de Oliveira",1958,5884,66,61,5,"pt","portuguese","por","pt"
"85","Le Gondolier","Franck Pourcel",1958,5885,55,47,8,"fr","french","fra","fr"
"86","Meu Anjo Especial","Nilza Miranda",1958,5886,79,62,17,"pt","portuguese","por","pt"
"87","Dobradinho","Luiz Bonfá",1958,5887,274,66,208,"pt","portuguese","por","pt"
"88","Frô do Ipê","Cascatinha & Inhana",1958,5888,99,52,47,"pt","portuguese","por","pt"
"89","Mamãe Eu Levei Bomba","Dircinha Batista",1958,5889,37,24,13,"pt","portuguese","por","pt"
"90","Peanuts","Little Joe",1958,5890,251,56,195,"en","english","eng","en"
"91","Prece","Agnaldo Rayol",1958,5891,173,75,98,"pt","portuguese","por","pt"
"92","Azul Pintado de Azulo","Roberto Audi & Leny Eversong",1958,5892,152,74,78,"it","italian","ita","it"
"93","Noite Cheia de Estrelas","Poly & Seu Conjunto",1958,5893,100,85,15,"pt","portuguese","por","pt"
"94","Melodia de Amor","Onilda Figueiredo",1958,5894,57,45,12,"pt","portuguese","por","pt"
"95","Mambo Rock","Bill Haley & His Comets",1958,5895,156,51,105,"en","scots","eng","en"
"96","Prece ao Vento","Gilvan Chaves",1958,5896,132,38,94,"pt","portuguese","por","pt"
"97","Guarde a Sandália Dela","Germano Mathias",1958,5897,40,26,14,"pt","portuguese","por","pt"
"98","Garoa","Albertinho Fortuna",1958,5898,140,62,78,"pt","portuguese","por","pt"
"99","Nova Flor (O Homem Não Deve Chorar)","Palmeira & Biá",1958,5899,142,100,42,"pt","portuguese","por","pt"
"100","Torero","Hector Lagna Fietta",1958,58100,268,80,188,"es","spanish","spa","es"
"101","Estúpido Cupido","Celly Campelo",1959,5901,171,54,117,"pt","portuguese","por","pt"
"102","Vai, Mas Vai Mesmo","Nora Ney",1959,5902,41,34,7,"pt","portuguese","por","pt"
"103","Smoke Gets In Your Eyes","The Platters",1959,5903,72,57,15,"en","english","eng","en"
"104","Quem é?","Osmar Navarro",1959,5904,72,63,9,"pt","portuguese","por","pt"
"105","A Felicidade","Agostinho dos Santos",1959,5905,135,77,58,"pt","portuguese","por","pt"
"106","Laçinhos Cor de Rosa","Celly Campello",1959,5906,135,75,60,"pt","portuguese","por","pt"
"107","Deusa do Asfalto","Nelson Gonçalves",1959,5907,79,63,16,"pt","portuguese","por","pt"
"108","Perfume de Gardenia","Bienvenido Granda",1959,5908,58,43,15,"pt","portuguese","por","pt"
"109","Dindi","Sylvia Telles",1959,5909,90,56,34,"pt","portuguese","por","pt"
"110","Não Diga o Nome","Anísio Silva",1959,5910,95,49,46,"pt","portuguese","por","pt"
"111","Ave Maria Lola","Carlos Galhardo",1959,5911,212,60,152,"es","spanish","spa","es"
"112","Ciclone","Carlos Nobre",1959,5912,98,71,27,"pt","portuguese","por","pt"
"113","Madureira Chorou","Germano Mathias",1959,5913,38,32,6,"pt","portuguese","por","pt"
"114","Na Cadência do Samba","Elizeth Cardoso",1959,5914,205,34,171,"pt","portuguese","por","pt"
"115","Tu Somente Tu","Anísio Silva",1959,5915,60,45,15,"pt","portuguese","glg","pt"
"116","Recado","Maysa",1959,5916,95,72,23,"pt","portuguese","por","pt"
"117","I Need Your Love Tonight","Elvis Presley",1959,5917,74,51,23,"en","scots","eng","en"
"118","Por Uma Noite Ainda","Orlando Dias",1959,5918,61,46,15,"pt","portuguese","por","pt"
"119","Petite Fleur","Bob Crosby Orchestra",1959,5919,73,50,23,"fr","french","fra","fr"
"120","Mack The Knife","Bobby Darin",1959,5920,185,110,75,"en","scots","eng","en"
"121","Meu Segredo","Luis Claudio",1959,5921,177,80,97,"pt","portuguese","por","pt"
"122","Siete Notas de Amor","Trio Los Panchos",1959,5922,32,27,5,"es","spanish","glg","es"
"123","Comme Prima","Trigêmeos Vocalistas",1959,5923,73,29,44,"it","italian","ita","it"
"124","Piston de Gafieira","Silvio Caldas",1959,5924,92,80,12,"pt","portuguese","por","pt"
"125","Quero Beijar-te as Mãos","Anísio Silva",1959,5925,49,41,8,"pt","portuguese","por","pt"
"126","Roseli","Sid Grey Orchestra",1959,5926,99,72,27,"pt","portuguese","por","pt"
"127","Oh Carol","Neil Sedaka",1959,5927,100,33,67,"en","english","eng","en"
"128","Eu Sei Que Vou Te Amar","Elza Laranjeira",1959,5928,83,31,52,"pt","portuguese","por","pt"
"129","A Certain Smile","Johnny Mathis",1959,5929,56,46,10,"en","english","eng","en"
"130","Se Eu Pudesse","Orlando Dias",1959,5930,424,242,182,"pt","portuguese","por","pt"
"131","Personality","Don Taylor",1959,5931,150,106,44,"en","english","eng","en"
"132","Felicidade","Zezé Gonçalves",1959,5932,185,68,117,"pt","portuguese","por","pt"
"133","Prece ao Sol","Nelson Gonçalves",1959,5933,48,38,10,"pt","portuguese","por","pt"
"134","Fim de Estrada","Carlos Galhardo",1959,5934,134,58,76,"pt","portuguese","por","pt"
"135","King Creole","Elvis Presley",1959,5935,128,86,42,"en","scots","eng","en"
"136","Meu Coração Canta","Carlos Gonzaga",1959,5936,101,45,56,"pt","portuguese","por","pt"
"137","Venus","Frankie Avalon",1959,5937,99,40,59,"en","scots","eng","en"
"138","Piove","Angela Maria",1959,5938,284,92,192,"it","italian","ita","it"
"139","Comme Prima","Umberto Marcato",1959,5940,73,29,44,"it","italian","ita","it"
"140","Jambalaya","Brenda Lee",1959,5941,142,53,89,"en","scots","eng","en"
"141","Brigas, Nunca Mais","Marlene",1959,5942,51,43,8,"pt","portuguese","por","pt"
"142","Personality","Lloyd Price",1959,5943,150,106,44,"en","english","eng","en"
"143","Chiclete Com Banana","Jackson do Pandeiro",1959,5944,126,44,82,"pt","portuguese","por","pt"
"144","Pombo Correio","Gilberto Alves",1959,5945,96,65,31,"pt","portuguese","por","pt"
"145","Hino ao Amor","Wilma Bentivegna",1959,5946,89,61,28,"pt","portuguese","por","pt"
"146","Ela Disse-me Assim","Jamelão",1959,5947,61,52,9,"pt","portuguese","por","pt"
"147","Revolta","Nelson Gonçalves",1959,5948,93,68,25,"pt","portuguese","por","pt"
"148","Donde Estás Mi Vida","Joselito",1959,5949,50,36,14,"es","spanish","spa","es"
"149","A Teenager In Love","Dion & The Belmonts",1959,5950,142,55,87,"en","english","sco","en"
"150","Ansiedad","Nat King Cole",1959,5951,106,45,61,"es","spanish","spa","es"
"151","Calypso Italiano","Marlene",1959,5952,74,31,43,"pt","portuguese","por","pt"
"152","Chiclete Com Banana","Gordurinha",1959,5953,126,44,82,"pt","portuguese","por","pt"
"153","Bom-Dia, Meu Amor","Marlene",1959,5954,141,58,83,"pt","portuguese","por","pt"
"154","Dynamite","Brenda Lee",1959,5955,320,109,211,"en","scots","eng","en"
"155","Canção da Tristeza","Morgana",1959,5956,39,29,10,"pt","portuguese","por","pt"
"156","Madrid","Nat King Cole",1959,5957,365,179,186,"fr","french","fra","fr"
"157","De Conversa em Conversa","Isaura Garcia",1959,5958,213,53,160,"pt","portuguese","por","pt"
"158","Milagre da Volta","João Dias",1959,5959,72,50,22,"pt","portuguese","por","pt"
"159","Donna","Ritchie Valens",1959,5960,96,38,58,"en","scots","eng","en"
"160","Sem Ninguém Por Mim","Duo Guarujá",1959,5961,126,31,95,"pt","portuguese","por","pt"
"161","E Daí?","Isaura Garcia",1959,5962,114,50,64,"pt","portuguese","por","pt"
"162","Chove (Piove)","Marlene",1959,5963,68,45,23,"pt","catalan","por","pt"
"163","Bim Bom","João Gilberto",1959,5964,94,12,82,"pt","portuguese","por","pt"
"164","Fiz a Cama na Varanda","Inezita Barroso",1959,5965,103,37,66,"pt","portuguese","por","pt"
"165","Eu Sei Que Vou Te Amar","Osny Silva",1959,5966,83,31,52,"pt","portuguese","por","pt"
"166","Frankie","Regiane & The Avalons",1959,5967,144,64,80,"en","scots","eng","en"
"167","Este Seu Olhar","Morgana",1959,5968,38,33,5,"pt","portuguese","por","pt"
"168","Dá-me Tuas Mãos","Orlando Silva",1959,5969,56,43,13,"pt","portuguese","por","pt"
"169","Colcha de Retalhos","Cascatinha & Inhana",1959,5970,95,54,41,"pt","portuguese","por","pt"
"170","De Degrau em Degrau","Osny Silva",1959,5971,44,29,15,"pt","portuguese","por","pt"
"171","Errei, Erramos","Orlando Silva",1959,5972,57,51,6,"pt","portuguese","por","pt"
"172","Manhã de Carnaval","João Gilberto",1959,5973,48,39,9,"pt","portuguese","por","pt"
"173","Marcianita","Sergio Murillo",1959,5974,134,66,68,"pt","portuguese","por","pt"
"174","Meditação","Isaura Garcia",1959,5975,55,39,16,"pt","portuguese","por","pt"
"175","Conselho","Morgana",1959,5976,180,61,119,"pt","portuguese","por","pt"
"176","Solidão","Dolores Duran",1959,5977,131,29,102,"pt","portuguese","por","pt"
"177","Mágoa","Silvia Telles",1959,5978,315,141,174,"pt","portuguese","por","pt"
"178","Margarida","Sonia Dutra",1959,5979,181,100,81,"pt","portuguese","por","pt"
"179","Minha Crença","Francisco Egydio",1959,5980,54,41,13,"pt","portuguese","por","pt"
"180","My Happiness","Connie Francis",1959,5981,90,48,42,"en","english","eng","en"
"181","Esquina do Pecado","Marlene",1959,5982,84,66,18,"pt","portuguese","por","pt"
"182","It's Only Make Believe","Conway Twitty",1959,5983,124,52,72,"en","english","eng","en"
"183","Chantily Lace","Big Bopper",1959,5984,106,58,48,"en","scots","eng","en"
"184","Minha Oração (My Prayer)","Jairo Aguiar",1959,5985,77,36,41,"pt","portuguese","por","pt"
"185","O Vendedor de Caranguejo","Gordurinha",1959,5986,65,44,21,"pt","portuguese","por","pt"
"186","Topsy II","Cozy Cole",1959,5987,106,66,40,"en","english","eng","en"
"187","Quem é?","Hebe Camargo",1959,5988,72,63,9,"pt","portuguese","por","pt"
"188","Pink Shoe Laces","Dodie Stevens",1959,5989,227,97,130,"en","scots","eng","en"
"189","Estrada do Sol","Silvia Telles",1959,5990,95,36,59,"pt","portuguese","por","pt"
"190","Tears On My Pillow","Little Anthony & The Imperials",1959,5991,86,41,45,"en","english","eng","en"
"191","Rosalinda","Orlando Silva",1959,5992,193,87,106,"es","spanish","spa","es"
"192","Isso é Lá Com Santo Antonio","Marlene",1959,5993,113,39,74,"pt","portuguese","por","pt"
"193","Regresso","Carlos Nobre",1959,5994,165,88,77,"pt","portuguese","por","pt"
"194","China Rock","The Avalons",1959,5995,125,44,81,"en","english","sco","en"
"195","Por Um Beijo de Amor","Francisco Egydio",1959,5996,50,30,20,"pt","portuguese","por","pt"
"196","Ô Diacho","Dupla Ouro e Prata",1959,5997,21,19,2,"pt","portuguese","por","pt"
"197","Chega de Saudade","Severino Araújo & Orquestra Tabajara",1959,5998,158,66,92,"pt","portuguese","por","pt"
"198","Erros de Gramática","Marlene",1959,5999,71,55,16,"pt","portuguese","por","pt"
"199","Fim de Caso","Dolores Duran",1959,59100,108,55,53,"pt","portuguese","por","pt"
"200","Banho de Lua","Celly Campello",1960,6002,119,44,75,"pt","portuguese","por","pt"
"201","A Noite do Meu Bem","Dolores Duran",1960,6003,84,43,41,"pt","portuguese","por","pt"
"202","Esmeralda","Carlos José",1960,6004,63,38,25,"pt","portuguese","por","pt"
"203","Mulher de Trinta","Miltinho",1960,6005,37,31,6,"pt","portuguese","por","pt"
"204","Menina Moça","Tito Madi",1960,6006,105,53,52,"pt","portuguese","por","pt"
"205","Marina","Cauby Peixoto",1960,6007,73,37,36,"pt","portuguese","por","pt"
"206","Put Your Head On My Shoulder","Paul Anka",1960,6008,98,49,49,"en","english","eng","en"
"207","Alguém Me Disse","Anísio Silva",1960,6009,53,44,9,"pt","portuguese","por","pt"
"208","Everybody's Somebody's Fool","Connie Francis",1960,6010,137,69,68,"en","english","eng","en"
"209","Meu Dilema","Nelson Gonçalves",1960,6011,70,50,20,"pt","portuguese","por","pt"
"210","Se Acaso Você Chegasse","Elza Soares",1960,6012,73,41,32,"pt","portuguese","por","pt"
"211","Me Dá Um Dinheiro Aí","Moacyr Franco",1960,6013,100,14,86,"pt","portuguese","por","pt"
"212","The Green Leaves Of Summer","The Brothers Four",1960,6014,94,41,53,"en","english","eng","en"
"213","Estou Pensando em Ti","Anísio Silva",1960,6015,62,28,34,"pt","portuguese","por","pt"
"214","La Violetera","Sarita Montiel",1960,6016,82,40,42,"es","spanish","spa","es"
"215","Negue","Carlos Augusto",1960,6017,110,31,79,"pt","portuguese","por","pt"
"216","Serenata Suburbana","Dalva de Andrade",1960,6018,52,39,13,"pt","portuguese","por","pt"
"217","O Milagre da Volta","João Dias",1960,6019,72,50,22,"pt","portuguese","por","pt"
"218","Puppy Love","Paul Anka",1960,6020,356,122,234,"en","english","eng","en"
"219","Não Tenho Lágrimas","Nat King Cole",1960,6021,135,40,95,"pt","portuguese","por","pt"
"220","Longe de Ti","Wilson Miranda",1960,6022,86,43,43,"pt","portuguese","por","pt"
"221","O Amor e a Rosa","Elizeth Cardoso",1960,6023,52,45,7,"pt","portuguese","por","pt"
"222","Por Quem Sonha Ana Maria","Juca Chaves",1960,6024,89,49,40,"pt","portuguese","por","pt"
"223","Cinzas do Passado","Cláudio de Barros",1960,6025,61,56,5,"pt","portuguese","por","pt"
"224","Pillow Talk","Doris Day",1960,6026,274,64,210,"en","english","eng","en"
"225","Leva Tudo Contigo","Jorge Goulart",1960,6027,63,42,21,"pt","portuguese","por","pt"
"226","Ô Crides","Ronald Golias",1960,6028,160,69,91,"pt","portuguese","por","pt"
"227","Ironia","Angela Maria",1960,6029,321,195,126,"pt","portuguese","por","pt"
"228","Fechei a Porta","Jamelão",1960,6030,87,21,66,"pt","portuguese","por","pt"
"229","Creia","Osmar Navarro",1960,6031,171,82,89,"pt","portuguese","por","pt"
"230","Tu és Meu Castigo","Agnaldo Rayol",1960,6032,50,40,10,"pt","portuguese","por","pt"
"231","Oração de Amor","Luis Claudio",1960,6033,279,81,198,"pt","portuguese","por","pt"
"232","I'm Sorry","Brenda Lee",1960,6034,75,33,42,"en","english","eng","en"
"233","Where Or When","Dion & The Belmonts",1960,6035,95,43,52,"en","english","sco","en"
"234","La Violetera","Angela Maria",1960,6036,82,40,42,"es","spanish","spa","es"
"235","Chore Comigo","Nelson Gonçalves",1960,6037,72,60,12,"pt","portuguese","por","pt"
"236","Um Amor Igual Ao Nosso","Nélson Novais",1960,6038,91,48,43,"pt","portuguese","por","pt"
"237","Greenfields","The Brothers Four",1960,6039,97,60,37,"pt","portuguese","por","pt"
"238","Não Tenho Namorado","Celly Campello",1960,6040,100,49,51,"pt","portuguese","por","pt"
"239","I'll Never Fall In Love Again","Johnnie Ray",1960,6041,124,68,56,"en","middle_frisian","eng","en"
"240","Presidente Bossa Nova","Juca Chaves",1960,6042,89,65,24,"pt","portuguese","por","pt"
"241","Zelão","Sergio Ricardo",1960,6043,63,53,10,"pt","portuguese","por","pt"
"242","Marcianita","Sergio Murilo",1960,6044,134,66,68,"pt","portuguese","por","pt"
"243","Mimi","Gilberto Alves",1960,6045,64,55,9,"pt","portuguese","por","pt"
"244","Mineiro Sabido","Luis Vanderley",1960,6046,90,35,55,"pt","portuguese","por","pt"
"245","A Canção dos Seus Olhos","Marisa",1960,6047,52,37,15,"pt","portuguese","por","pt"
"246","Ansiedade","Leila Silva",1960,6048,97,35,62,"pt","portuguese","por","pt"
"247","Adam and Eve","Paul Anka",1960,6049,114,38,76,"en","english","eng","en"
"248","Cathy's Clown","Everly Brothers",1960,6050,121,54,67,"en","scots","sco","en"
"249","Adelita","Franquito",1960,6051,61,52,9,"es","spanish","spa","es"
"250","Alma de Boêmio","José Orlando",1960,6052,217,130,87,"pt","portuguese","por","pt"
"251","Amor Proibido","Carlos Nobre",1960,6053,234,135,99,"pt","portuguese","por","pt"
"252","Noite Cheia de Estrelas","Poly e seu conjunto",1960,6054,100,85,15,"pt","portuguese","por","pt"
"253","E Daí?","Sonia Dutra",1960,6055,114,50,64,"pt","portuguese","por","pt"
"254","Arrependimento","Ellen de Lima",1960,6056,260,95,165,"pt","portuguese","por","pt"
"255","Arruma a Trouxa","Zilá Fonseca",1960,6057,128,73,55,"pt","portuguese","por","pt"
"256","Billy Boy","Jinny Isle",1960,6058,113,32,81,"en","english","eng","en"
"257","Caixinha, Obrigado","Juca Chaves",1960,6059,126,100,26,"pt","portuguese","por","pt"
"258","Canção do Desejo","Angela Maria",1960,6060,37,33,4,"pt","portuguese","por","pt"
"259","Leva-me Contigo","Lana Bittencourt",1960,6061,249,170,79,"pt","portuguese","por","pt"
"260","Carinho e Amor","Tito Madi",1960,6062,51,38,13,"pt","portuguese","por","pt"
"261","Coração de Mãe","Leny Eversong",1960,6063,134,52,82,"pt","portuguese","por","pt"
"262","Devolva-me","Anísio Silva",1960,6064,70,34,36,"pt","portuguese","glg","pt"
"263","Diga Que Me Ama","Sônia Delfino",1960,6065,207,119,88,"pt","portuguese","por","pt"
"264","Creio em Ti","Francisco Egydio",1960,6066,213,52,161,"pt","portuguese","por","pt"
"265","Dirce","Osny Silva",1960,6067,123,69,54,"pt","portuguese","por","pt"
"266","El Vagabundo","Trio Los Panchos",1960,6068,126,49,77,"es","spanish","spa","es"
"267","Brotinho Sem Juízo","Roberto Carlos",1960,6069,80,63,17,"pt","portuguese","por","pt"
"268","I Like Girls","Johnny Restivo",1960,6070,454,200,254,"en","english","eng","en"
"269","Estou Pensando em Ti","Agostinho dos Santos",1960,6071,62,28,34,"pt","portuguese","por","pt"
"270","Folhas ao Vento","Osny Silva",1960,6072,81,72,9,"pt","portuguese","por","pt"
"271","Hino ao Amor","Morgana",1960,6073,89,61,28,"pt","portuguese","por","pt"
"272","História da Minha Vida","Emilinha Borba",1960,6074,121,91,30,"pt","portuguese","por","pt"
"273","Bimbobey","Sônia Delfino",1960,6075,136,79,57,"en","english","eng","en"
"274","Espante a Tristeza","Renato & Seus Blue Caps",1960,6076,145,110,35,"pt","portuguese","por","pt"
"275","It's Now Or Never","Elvis Presley",1960,6077,116,65,51,"en","middle_frisian","eng","en"
"276","La Violetera","Dionísio Bernardo",1960,6078,82,40,42,"es","spanish","spa","es"
"277","Só Em Teus Braços","Silvia Telles",1960,6079,44,32,12,"pt","portuguese","por","pt"
"278","Eu Preciso Namorar","Gordurinha",1960,6080,94,66,28,"pt","portuguese","por","pt"
"279","Leva-me Contigo","Marisa",1960,6081,249,170,79,"pt","portuguese","por","pt"
"280","Lonely Boy","Paul Anka",1960,6082,117,39,78,"en","scots","eng","en"
"281","Long Tall Sally","Little Richard",1960,6083,93,44,49,"en","english","eng","en"
"282","Lua Azul","Leo Romano",1960,6084,56,47,9,"pt","portuguese","por","pt"
"283","Marina","Leny Eversong",1960,6085,73,37,36,"pt","portuguese","por","pt"
"284","Chiclete com Banana","Jackson do Pandeiro",1960,6086,126,44,82,"pt","portuguese","por","pt"
"285","Irmã da Saudade","Leila Silva",1960,6087,83,46,37,"pt","portuguese","por","pt"
"286","Marina","Rocco Granata",1960,6088,73,37,36,"pt","portuguese","por","pt"
"287","O Que Tinha de Ser","Silvia Telles",1960,6089,41,31,10,"pt","portuguese","por","pt"
"288","Meditação","Isaura Garcia",1960,6090,55,39,16,"pt","portuguese","por","pt"
"289","Leva-me Contigo","Agostinho dos Santos",1960,6091,249,170,79,"pt","portuguese","por","pt"
"290","Perdão Para Dois","Leila Silva",1960,6092,78,45,33,"pt","portuguese","por","pt"
"291","Minha Serás Eternamente","Orlando Dias",1960,6093,40,29,11,"pt","portuguese","por","pt"
"292","Quiero Besar Tu Manos","Gregorio Barrios",1960,6094,123,59,64,"es","spanish","spa","es"
"293","Morrer Por Ti","Osvaldo Rodrigues",1960,6095,86,42,44,"pt","portuguese","por","pt"
"294","Mustafá","Bob Azzam",1960,6096,66,35,31,"sw","indonesian","eng","sw"
"295","Súplica Cearense","Gordurinha",1960,6097,152,84,68,"pt","portuguese","por","pt"
"296","Mais Um Trago","Antonio Martins",1960,6098,39,30,9,"pt","portuguese","por","pt"
"297","Nancy","Osny Silva",1960,6099,64,46,18,"pt","portuguese","por","pt"
"298","Cacareco é o Maior","Risadinha",1960,60100,24,18,6,"pt","portuguese","por","pt"
