Nome.x,Artista.x,Ano,ID,Nome.y,Artista.y,Letra,Idioma,topico_hdp
Moda da Pinga (Marvada Pinga),Inezita Barroso,1958,5819,Moda da Pinga,Inezita Barroso,"Co'a marvada pinga é que eu me atrapaio
Eu entro na venda e já dô meu taio
Pego no copo e dali num saio
Ali mesmo eu bebo, ali mesmo eu caio
Só pra carregá é queu dô trabaio, oi lá!
Venho da cidade, já venho cantando
Trago um garrafão que venho chupando
Venho pros caminho, venho trupicando
Chifrando os barranco, venho cambeteando
E no lugar que eu caio já fico roncando, oi lá!
O marido me disse, ele me falô
Largue de bebê, peço pro favor
Prosa de home nunca dei valor
Bebo com o sor quente pra esfriá o calô
Se bebo de noite é pra fazer suadô, oi lá!
Cada vez que eu caio, caio deferente
Meaço pra trás e caio pra frente
Caio devagar, caio de repente
Vou de currupio, vou deretamente
Mas sendo de pinga eu caio contente, oi lá!
Pego o garrafão é já balanceio
Que é pra mode vê se tá mesmo cheio
Num bebo de vez por que acho feio
No primeiro gorpe chego inté no meio
No segundo trago é que eu desvazeio, oi lá!
Eu bebo da pinga porque gosto dela
Eu bebo da branca, bebo da amarela
Bebo no copo, bebo na tigela
Bebo temperada com cravo e canela
Seja quarqué tempo vai pinga na goela, oi lá!
Eu fui numa festa no rio Tietê
Eu lá fui chegando no amanhecê
Já me deram pinga pra mim bebê
Já me deram pinga pra mim bebê, tava sem fervê, oi lá!
Eu bebi demais e fiquei mamada
Eu caí no chão e fiquei deitada
Aí eu fui pra casa de braço dado
Ai de braço dado é com dois sordado
Ai, muito obrigado!",pt,1
A Taça do Mundo é Nossa,Coral do Caneco,1958,5821,A Taça do Mundo É Nossa,Funk'n Lata,"(Goool!)
A taça do mundo é nossa
Com brasileiro, não há quem possa
Eh, eta, esquadrão de ouro
É bom no samba, é bom no couro
A taça do mundo é nossa
Com brasileiro, não há quem possa
Eh, eta, esquadrão de ouro
É bom no samba, é bom no couro
O brasileiro lá no estrangeiro
Mostrou o futebol como é que é
Ganhou a taça do mundo
Sambando com a bola no pé
Goool!
A taça do mundo é nossa
Com brasileiro, não há quem possa
Eh, eta, esquadrão de ouro
É bom no samba, é bom no couro
A taça do mundo é nossa
Com brasileiro, não há quem possa
Eh, eta, esquadrão de ouro
É bom no samba, é bom no couro
O brasileiro lá no estrangeiro
Mostrou o futebol como é que é
Ganhou a taça do mundo
Sambando com a bola no pé
Goool!
A taça do mundo é nossa
Com brasileiro, não há quem possa
Eh, eta, esquadrão de ouro
É bom no samba, é bom no couro
A taça do mundo é nossa
Com brasileiro, não há quem possa
Eh, eta, esquadrão de ouro
É bom no samba, é bom no couro
O brasileiro lá no estrangeiro
Mostrou o futebol como é que é
Ganhou a taça do mundo
Sambando com a bola no pé
Goool!
(Brasil! Brasil! Brasil! Brasil!)
A taça do mundo é nossa!",pt,1
Balada Triste,Agostinho dos Santos,1958,5822,Balada Triste,Agostinho dos Santos,"Balada triste que me faz lembrar alguém
Alguém que existe e que outrora foi meu bem
Balada triste melodia do meu drama
Esse alguém já não me ama
Esqueceu você também
Não há mais nada
Foi um sonho que findou
Triste balada só você me acompanhou
Fica comigo velha amiga e companheira
Vou cantá-la a vida inteira
Pra lembrar o que passou
Não há mais nada
Foi um sonho que findou
Triste balada só você me acompanhou
Fica comigo velha amiga e companheira
Vou cantá-la a vida inteira
Pra lembrar o que passou",pt,2
O Apito no Samba,Marlene,1958,5823,O Apito No Samba,Marlene,"Se você num samba de gente bem
Não vai encontrar ninguém
Apitando um apito no samba
É porque o samba que vai nascer
Só vai mesmo acontecer
Quando houver um apito no samba
Venha ver esquindô, esquindô no terreiro
Pra saber o que é esquindô verdadeiro
E então, você me dará razão
Chegando a esta conclusão
Que é preciso um apito no samba
Que bonito é
Um tamborim a batucar
Que bonito é
Um corpo de mulher sambar
Suas saias vão correndo pelo chão
Seus pés que dão
O ritmo que nasce, cresce, vibra
Viva o apito no samba
Suas saias vão correndo pelo chão
Seus pés que dão
O ritmo que nasce, cresce, vibra
E então, você me dará razão
Chegando a esta conclusão
Que é preciso um apito no samba",pt,1
Linda,Cauby Peixoto,1958,5824,Linda,Cauby Peixoto,"Linda, linda, linda, linda
Linda, linda, linda, linda
Linda, linda
Por que no esquecimento eu fiquei?
Se a febre dos meus olhos a te olhar
E o desejo dos meus braços te abraçar
Amor, nosso fim não é um adeus
Como adeus de um lenço branco a se agitar
Ai, linda, linda
São pérolas que mostram teu sorrir
Que no inverno desta vida era o sol
E o encanto de teus olhos que adorei
Foi sempre a razão do meu viver
Martírio de perder-te, não morrer
Ai, linda, linda
Punhado de rubis que eu perdi
Se pensares outra vez acaso em mim
Vem, meu bem, amor
Linda, linda, linda, linda, linda
Linda, linda
Linda, linda
São pérolas que mostram teu sorrir
Que no inverno desta vida era o sol
E o encanto de teus olhos que adorei
Foi sempre a razão do meu viver
Martírio de perder-te, não morrer
Ai, linda, linda
Punhado de rubis que eu perdi
Se pensares outra vez acaso em mim
Vem, meu bem, amor",pt,2
Eu Não Existo Sem Você,Maysa,1958,5827,Eu Não Existo Sem Você,Maysa,"Eu sei e você sabe, já que a vida quis assim
Que nada nesse mundo levará você de mim
Eu sei e você sabe que a distância não existe
Que todo grande amor só é bem grande se for triste
Por isto, meu amor, não tenha medo de sofrer
Pois todos os caminhos me encaminham pra você
Assim como o oceano só é belo com o luar
Assim como a canção só tem razão se se cantar
Assim como uma nuvem só acontece se chover
Assim como o poeta só é grande se sofrer
Assim como viver sem ter amor não é viver
Não há você sem mim e eu não existo sem você
Assim como o oceano só é belo com o luar
Assim como a canção só tem razão se se cantar
Assim como uma nuvem só acontece se chover
Assim como o poeta só é grande se sofrer
Assim como viver sem ter amor não é viver
Não há você sem mim e eu não existo sem você",pt,1
Interesseira,Anísio Silva,1958,5830,Interesseira,Anísio Silva,"Interesseira, não amas ninguém
Não tens coração
Só causas o mal
De quem te quer bem
Interesseira, a mim não convém
Pagar por um desejo, que é farsa do teu beijo
Que a alma não tem
Interesseira, que adora a riqueza
E troca a ternura
Do amor mais sincero
Por uma aventura
Interesseira, procedendo assim
Verás que tua vida
Vazia sem guarida
Marcará teu fim
Interesseira, que adora a riqueza
E troca a ternura
Do amor mais sincero
Por uma aventura
Interesseira, procedendo assim
Verás que tua vida
Vazia sem guarida
Marcará teu fim",pt,1
Chega de Saudade,João Gilberto,1958,5834,Chega de Saudade,João Gilberto,"Vai, minha tristeza, e diz a ela
Que sem ela não pode ser
Diz-lhe numa prece que ela regresse
Porque eu não posso mais sofrer
Chega de saudade, a realidade é que
Sem ela não há paz, não há beleza
É só tristeza e a melancolia que não sai de mim
Não sai de mim, não sai
Mas se ela voltar, se ela voltar
Que coisa linda, que coisa louca
Pois há menos peixinhos a nadar no mar
Do que os beijinhos que eu darei na sua boca
Dentro dos meus braços
Os abraços hão de ser milhões de abraços
Apertado assim, colado assim, calado assim
Abraços e beijinhos e carinhos sem ter fim
Que é pra acabar com esse negócio de viver longe de mim
Vai, minha tristeza, e diz a ela
Que sem ela não pode ser
Diz-lhe numa prece que ela regresse
Porque eu não posso mais sofrer
Chega de saudade, a realidade é que
Sem ela não há paz, não há beleza
É só tristeza e a melancolia que não sai de mim
Não sai de mim, não sai
Mas se ela voltar, se ela voltar
Que coisa linda, que coisa louca
Pois há menos peixinhos a nadar no mar
Do que os beijinhos que eu darei na sua boca
Dentro dos meus braços
Os abraços hão de ser milhões de abraços
Apertado assim, colado assim, calado assim
Abraços e beijinhos e carinhos sem ter fim
Que é pra acabar com esse negócio de viver longe de mim
Não quero mais esse negócio de você viver assim
Vamos deixar desse negócio de você viver sem mim",pt,1
Viva o Meu Samba,Silvio Caldas,1958,5835,Viva Meu Samba,Jair Rodrigues,"Violão, pandeiro
Tamborim na marcação e reco-reco
Meu samba
Viva meu samba verdadeiro
Porque tem teleco-teco
Violão, pandeiro
Tamborim na marcação e reco-reco
Meu samba
Viva meu samba verdadeiro
Porque tem teleco-teco
Venho do reino do samba brilhar no asfalto
E em forma de samba desce o morro também
Faço da minha tristeza um Carnaval de beleza
Que as outras terras não tem
Toda a riqueza do mundo
Não vale o terreiro
Onde eu canto o meu samba
Com simplicidade
Com as pastoras na rua
Com um pedaço de Lua
E a palavra saudade
Violão, pandeiro
Tamborim na marcação e reco-reco
Meu samba
Viva meu samba verdadeiro
Porque tem teleco-teco
Venho do reino do samba brilhar no asfalto
E em forma de samba desce o morro também
Faço da minha tristeza um Carnaval de beleza
Que as outras terras não tem
Toda a riqueza do mundo
Não vale o terreiro
Onde eu canto o meu samba
Com simplicidade
Com as pastoras na rua
Com um pedaço de Lua
E a palavra saudade
Violão, pandeiro
Tamborim na marcação e reco-reco
Meu samba
Viva meu samba verdadeiro
Porque tem teleco-teco
Meu samba
Viva meu samba verdadeiro
Porque tem teleco-teco
Porque tem teleco-teco
Porque tem teleco-teco
Porque tem teleco-teco
Porque tem teleco-teco",pt,6
Amarras,Oscar Ferreira,1958,5837,Amarras,Nelson Gonçalves,"Vamos como sombras atormentadas
Pelos fornos das angustias
Lembro hoje não sou nada
Sou como meu barco vagabundo
Que parou acorrentado
Amarrado ao cais profundo
Também amarrado ao meu passado
Como um barco abandonado
E sinto na carne estas amarras
Como ganchos como garras
Choro aqueles dias
Que jamais mais hão de voltar
Lembro a tua boca que jamais hei de beijar
Sou como meu barco vagabundo
Que amarrado ao cais profundo
Há de ficar
Aqueles beijos que eu perdi
Quando senti uma cilada
Por um tormento que supõe
Ao turbilhões já não sou nada
Só sei dizer que caí
Que penei que rolei
Ao abismo de um fracasso
Sei que seu péssimo amor
A zombar da minha dor
Me persegui passo a passo
Hoje que sei que não virás
Fato sem fé
Por este porto
Quero partir quero fugir
Mas estou morto
Porque viver sem teu amor
Não é viver mas sim morrer
Ambos como sombras atormentadas
Pelo forno das angustias
Lembro que não sou nada
Sou como meu barco vagabundo
Que parou acorrentado
Amarrado ao cais profundo
Também amarrado ao meu passado
Como um barco abandonado
E sinto na carne estas amarras
Como gancho como garra
Choro aqueles dias
Que nunca mais hão de voltar
Lembro a tua boca
Que nunca mais hei de beijar
Sou como meu barco vagabundo
Que amarrado ao cais profundo
Há de ficar",pt,1
Creio em Ti,Francisco Egydio,1958,5839,Creio Em Ti,Francisco Egydio,"Creio em ti ao ver que a chuva cai e faz
A flor nascer
Creio em ti, pois sei, que enquanto é noite aqui
É dia ali
Crei em ti porque me deste o riso e a dor
Me deste o amor, do meu amor
Creio em ti, creio em ti
Se a paz sobre nós, seu véu descer
Eu creio em ti
Se a tempestade a terra abalar
Eu creio em ti
Cada vez que neste mundo, eu escutar
Alguém cantar, alguém chorar
Direi então, creio em ti
Creio em ti ao ver que a chuva cai e faz
A flor nascer
Creio em ti, pois sei, que enquanto é noite aqui
É dia ali
Crei em ti porque me deste o riso e a dor
Me deste o amor, do meu amor
Creio em ti, creio em ti
Se a paz sobre nós, seu véu descer
Eu creio em ti
Se a tempestade a terra abalar
Eu creio em ti
Cada vez que neste mundo, eu escutar
Alguém cantar, alguém chorar
Direi então, creio em ti!",pt,1
Apaixonada,Angela Maria,1958,5840,Apaixonada,Banda Magníficos,"Quero!
Quero tanto!
Ter você prá mim
(Você prá mim!)
Vida!
Minha vida!
Vida minha sim
Oh! Oh! Oh!...
Dono dos meus sonhos
Toda inspiração
(Inspiração!)
Lindo!
Todo lindo!
Doce emoção...
Amo essa ternura
Que há em teu olhar
Tua alegria
É quem me faz cantar...
Eu quero ser escrava
Desse teu amor
Faço tudo por você
Porque eu estou...
Apaixonada!
Sofro calada!
Tudo fica mais difícil
Sem você...(2x)
Amo essa ternura
Que há em teu olhar
Tua alegria
É quem me faz cantar...
Eu quero ser escrava
Desse teu amor
Faço tudo por você
Porque eu estou...
Apaixonada!
Sofro calada!
Tudo fica mais difícil
Sem você...(2x)
Apaixonada!
Apaixonada!
Sofro calada!
Sofro calada!
Tudo fica mais
Difícil sem você
Sem você...(4x)",pt,1
Arrependida,Morgana,1958,5844,Arrependida,Tião Carreiro e Pardinho,"Eu não sou culpado se hoje você chora
Foi você mesma que me abandonou
Implorei tanto pra não ir embora
As minhas súplicas, não escutou
Hoje você chora triste arrependida
Para os meus braços, você quer voltar
Você foi maldosa, arruinou minha vida
Me compreenda, não vou perdoar
Na sua ausência, eu chorei de dor
Não suportei fui à sua procura
Encontrei você com um novo amor
Trocava beijos e fazia juras
Naquela noite fiquei embriagado
Amanheci bebendo num bar
Estava triste e desesperado
Chamei seu nome, comecei chorar
Segue mulher, vai viver de mão em mão
Porque o remorso, pouco a pouco, lhe consome
Sinto uma dor dentro do meu coração
Tenho vergonha por você usar o meu sobrenome",pt,1
Balada dos Anjos,Gordon Jenkins,1958,5846,Balada dos Anjos,Mr. Jingle,"Pra gente falar sério, eu vou deixar a luz acesa
Hoje o que eu quero, é por a carta sobre a mesa
e dizer Eu amo você
Eu já me desfiz mais de mil vezes pra você
Só me refaço em teu abraço
é pra te dizer Eu amo você
Os bares da cidade revelaram o meu medo
Contaram a verdade nós não temos mais segredo
Vou te amar dançar na chuva
Na Balada dos Anjos espero te encontrar
Vou correr entrar na sua
Agora apague a Luz e vem me amar",pt,1
Abandono Cruel,Carlos Augusto,1958,5847,Abandono Cruel,Núbia Lafayette,"Revendo agora o meu jardim
Oh, que tristeza enfim
As flores que bailavam de alegria
Inspiram só nostalgia
Do abandono cruel
É bem grande a minha dor
O mal que sinto é de amor
As rosas tristes e envelhecidas
Pelo abandono da vida
Em perene solidão
Morrem murchando em botão
Despetalando pelo chão
Volta, vem rever nosso jardim
Vem amor e nunca mais
Te afastarás de mim
Volta, vem rever nosso jardim
Vem amor e nunca mais
Te afastarás de mim",pt,1
Pensando em Ti,Nelson Gonçalves,1958,5848,Pensando Em Ti,Nelson Gonçalves,"Eu amanheço pensando em ti
Eu anoiteço pensando em ti
Eu não te esqueço
É dia e noite, pensando em ti
Eu vejo a vida
Pela luz dos olhos teus
Me deixa ao menos
Por favor, pensar em Deus
Nos cigarros que eu fumo
Te vejo nas espirais
Nos livros que eu tento ler
Em cada frase tu estás
Nas orações que eu faço
Eu encontro os olhos teus
Me deixa ao menos
Por favor, pensar em Deus
Pensando em ti, lá lá lará
Pensando em ti
Nos cigarros que eu fumo
Te vejo nas espirais
Nos livros que eu tento ler
Em cada frase tu estás
Nas orações que eu faço
Eu encontro os olhos teus
Me deixa ao menos
Por favor, pensar em Deus
Em Deus",pt,1
Calipso Italiano,Renato de Oliveira,1958,5851,Calipso Italiano (Calypso Italiano),Marlene,"Calipso ai, Calipso ai
Calipso ai, Calipso ai, Calipso italiano
Calipso si, Calipso si, Calipso siciliano
Calipso ai, Calipso ai, Calipso italiano
Calipso si, Calipso si, Calipso siciliano
Fui dançar na Itália a tarantella
Numa linda festa de emoção
Na bela noite cortadela
Invadiu o meu coração
Calipso ai, Calipso ai, Calipso italiano
Calipso si, Calipso si, Calipso siciliano
Nunca mais eu pude esquecer
O belo ragazzo de mio core
Lá na Itália agora eu vou viver
Lá eu encontrei o meu grande amore
Calipso ai, Calipso ai, Calipso italiano
Calipso si, Calipso si, Calipso siciliano
Calipso ai, Calipso ai, Calipso italiano
Calipso si, Calipso si, Calipso siciliano
Calipso ai, Calipso ai",pt,1
Cansei de Ilusões,Isaura Garcia,1958,5854,Cansei de Ilusões,Maria Bethânia,"Mentira, foi tudo mentira
Você não me amou
Mentira, foi tanta mentira
Que você contou
Tão meigos os seus olhos
Por Deus eu nem desconfiei
Histórias tão tristes
Você contou
E acreditei
Pois quase chorei
Agora desfeita a farsa
Só resta esquecer
Mentiras que calam na alma fazendo sofrer
Rasguei suas cartas
Queimei suas recordações
Mentiras
Cansei de ilusões",pt,1
Chove Lá Fora,The Platters,1958,5858,Chove Lá Fora,Tito Madi,"A noite está tão fria
Chove lá fora
E essa saudade enjoada
Não vai embora
Quisera compreender
Por que partiste
Quisera que soubesses
Como estou triste
E a chuva continua
Mais forte ainda
Só Deus sabe dizer
Como é infinda
A dor de não saber
Saber lá fora
Onde estás, como estás
Com quem estás agora",pt,1
Conselho (Summertime),Lana Bittencourt,1958,5859,Conselho,Lana Bittencourt,"Se você me encontrar pelas ruas
Não precisa mudar de calçada
Pense logo que somos estranhos
E que nunca entre nós houve nada
Não precisa baixar a cabeça
Pra não ver os meus olhos nos seus
Passarei por você sem rancor
Sem lembrar que entre nós houve um adeus
Nossos sonhos são tão diferentes
O remédio é mesmo deixar
Que esse amor se desfaça com o tempo
Sem que seja preciso chorar
Entre nós não há culpa, nem mágoa
O destino que assim escreveu
Poderemos achar noutros braços
Este amor que entre nós não viveu
Poderemos achar noutros braços
Este amor que entre nós não viveu",pt,1
Desolação,Agostinho dos Santos,1958,5861,Desolação,Agostinho dos Santos,"Ansiedade, desolação
Sombra amargura
No coração
Por que surgiste em minha vida?
Para fazer-me sofrer
Hora sem fim
Do pensamento
Tento afastar
Esse tormento
E quero demais
Cada vez mais
Dize que sim
Meu amor",pt,1
Estrada de Sol,Agostinho dos Santos,1958,5863,Estrada do Sol,Tom Jobim,"É de manhã
Vem o Sol
Mas os pingos da chuva
Que ontem caiu
Ainda estão a brilhar
Ainda estão a dançar
Ao vento alegre
Que me traz esta canção
É de manhã
Vem o Sol
Mas os pingos da chuva
Que ontem caiu
Ainda estão a brilhar
Ainda estão a dançar
Ao vento alegre
Que me traz esta canção
Quero que você
Me dê a mão
Vamos sair por aí
Sem pensar
No que foi que sonhei
Que chorei, que sofri
Pois a nossa manhã
Já me fez esquecer
Me dê a mão
Vamos sair pra ver o Sol
É de manhã
Vem o Sol
Mas os pingos da chuva
Que ontem caiu
Ainda estão a brilhar
Ainda estão a dançar
Me dê a mão
Vamos sair pra ver o Sol
Me dê a mão pra ver o Sol",pt,1
Bom Que Dói,Marlene,1958,5865,Bom Que Dói,Marlene,"O amor é um mistério
Bom se não é sério
Cada vez que penso que ele vai demorar
Fico com vontade dele já me livrar

O amor é coisa louca
Bom se a coisa é pouca
Se ele vem com força ele dói sem parar
Eu não quero nada disso, deixa pra lá
Deixa pra lá, deixa pra lá, deixa pra lá
Deixa pra lá, deixa pra lá, ai

O amor é um mistério
Bom se não é sério
Cada vez que penso que ele vai demorar
Fico com vontade dele já me livrar

O amor é coisa louca
Bom se a coisa é pouca
Se ele vem com força ele dói sem parar
Eu não quero nada disso, deixa pra lá
Deixa pra lá, deixa pra lá, deixa pra lá
Deixa pra lá, deixa pra lá, ai",pt,1
Banana Split,The Playings,1958,5866,Banana Split,Os Cascavelletes,"Gata, se tu quer banana split
Passa creme na minha banana
E engole inteirinha
Gata, eu como a tua pipoca
Mas tu toma meu leite quentinho
Que eu tirei da leiteirinha
Tudo, tudo, tudo
Tudo, tudo, tudo é tão óbvio
Tudo, tudo, tudo
Tudo, tudo, tudo é tão óbvio
Tudo, tudo, tudo
Tudo, tudo, tudo é tão óbvio
Eu quero te engordar
Gata, eu como a tua pipoca
Mas tu toma meu leite quentinho
Que eu tirei da leiteirinha
A alguns dias atrás
Eu ti notei na rua
E eu queria ti convida
Pra come uma banana split no meu apartamento
Tudo, tudo, tudo
Tudo, tudo, tudo é tão óbvio
Tudo, tudo, tudo
Tudo, tudo, tudo é tão óbvio
Tudo, tudo, tudo
Tudo, tudo, tudo é tão óbvio, yeah
Eu quero te engordar
Gata, se tu quer banana split
Passa creme na minha banana
E engole inteirinha
E engole inteirinha (banana split)
Engole inteirinha (banana split)
Engole inteirinha (banana split)
Banana split x4",pt,1
Foi a Noite,Isaura Garcia,1958,5868,Foi a Noite,Tom Jobim,"Foi a noite, foi o mar, eu sei
Foi a Lua que me fez pensar
Que você me queria outra vez
E que ainda gostava de mim
Ilusão, eu bebi, talvez
Foi amor por você, bem sei
A saudade aumenta com a distância
E a ilusão é feita de esperança
Foi a noite
Foi o mar, eu sei
Foi você",pt,6
Baiano Burro Nasce Morto,Gordurinha,1958,5871,Baiano Burro Nasce Morto,Gordurinha,"O pau que nasce torto
Não tem jeito morre torto
Baiano burro garanto que nasce morto
Sou da Bahia comigo não tem horário
Não sou otário e você pode zombar
Sou cabra macho, sou baiano toda hora
Meio dia, duas hora, quatro e meia o que é que há
Cabeça grande é sinal de inteligência
Eu agradeço a providência ter nascido lá
Salve a Bahia, ioio
Salve a Bahia, iaia
Sou cabra macho, sou baiano toda hora
Meio dia, duas hora, quatro e meia o que é que há
Cabeça grande é sinal de inteligência
Eu agradeço a providência ter nascido lá
O pau que nasce torto
Não tem jeito morre torto
Baiano burro garanto que nasce morto
Salve a Bahia, ioio
Salve a Bahia, iaia
Sou cabra macho, sou baiano toda hora
Meio dia, duas hora, quatro e meia o que é que há
Cabeça grande é sinal de inteligência
Eu agradeço a providência ter nascido lá
O Castro Alves poeta colosso
Sujeito moço, mas soube o que fez
A Marta Rocha violão baiano
Foi mostrar pro americano que a Bahia já tem vez
E Rui Barbosa, cabra de sangue na guerra,
Foi pra Inglaterra ensinar inglês
O pau que nasce torto
Não tem jeito morre torto
Baiano burro garanto que nasce morto.",pt,4
Fracasso,Dorinha Freitas,1958,5872,Fracasso,Dorinha Freitas,"
Ninguém veio assistir ao meu total fracasso
Nenhum amigo só me trouxe o seu abraço
Ninguém me consolou no dia em que falhei
Ninguém chorou só eu chorei
Até você voltou bem no final
Você que foi o motivo principal
Sei que pela chuva passo a passo levei comigo a saudade o meu fracasso
Sei que pela chuva passo a passo levei comigo a saudade o meu fracasso

Ninguém veio assistir ao meu total fracasso
Nenhum amigo só me trouxe o seu abraço
Ninguém me consolou no dia em que falhei
Ninguém chorou só eu chorei
Até você voltou bem no final
Você que foi o motivo principal
Sei que pela chuva passo a passo levei comigo a saudade o meu fracasso
Sei que pela chuva passo a passo levei comigo a saudade o meu fracasso
",pt,1
